isogroup40267	A0A024SH76	GO:0005576; GO:0016162; GO:0030248; GO:0030245
isogroup20340	A0A024SNB7	GO:0005576; GO:0008810; GO:0030248; GO:0030245
isogroup35533	A0A024SNB7	GO:0005576; GO:0008810; GO:0030248; GO:0030245
isogroup38970	A0A067XMP1	GO:0016491
isogroup55061	A0A067XMP1	GO:0016491
isogroup23257	A0A068FIK2	GO:0055028; GO:0005737; GO:0005524; GO:0008017; GO:0003777; GO:0071555; GO:0007018
isogroup49426	A0A084R1J7	GO:0004497
isogroup442	A0A097ZPD9	GO:0051213; GO:0046872; GO:0016114
isogroup9309	A0A0C5PRQ1	GO:0005576; GO:0004222; GO:0008270; GO:0018996
isogroup44923	A0A0D2YG06	GO:0016787
isogroup13271	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup21645	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup24245	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup26044	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup26522	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup27459	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup30492	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup30883	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup31712	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup32261	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup36963	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup38240	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup38669	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup39916	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup41481	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup432740	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup43455	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup43694	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup43833	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup57478	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup59041	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup62055	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup12871	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup16784	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup23813	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup28876	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup52949	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup60173	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup63969	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup64216	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup67592	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup70382	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup8424	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup29944	A0A0H3HIJ5	GO:0009279; GO:0009986; GO:0016021; GO:0007155; GO:0009405
isogroup65396	A0A0H3LKL4	GO:0043731; GO:0071949; GO:0019439
isogroup37355	A0A0I9QGZ2	GO:0046872; GO:0004802
isogroup22052	A0A0N7KJT8	GO:0005634; GO:0005667; GO:0003700; GO:0044212; GO:0060860; GO:0009909; GO:0080050; GO:0009409; GO:0097548
