comp2_c0_seq1	isogroup2
comp4_c0_seq1	isogroup4
comp9_c0_seq1	isogroup9
comp10_c0_seq2	isogroup10
comp12_c0_seq2	isogroup12
comp13_c0_seq1	isogroup13
comp14_c0_seq1	isogroup14
comp17_c0_seq1	isogroup17
comp18_c0_seq1	isogroup18
comp19_c0_seq1	isogroup19
comp23_c0_seq1	isogroup23
comp29_c0_seq1	isogroup29
comp30_c0_seq2	isogroup30
comp37_c0_seq1	isogroup37
comp38_c0_seq1	isogroup38
comp40_c0_seq1	isogroup40
comp43_c0_seq1	isogroup43
comp52_c0_seq1	isogroup52
comp54_c0_seq1	isogroup54
comp55_c0_seq1	isogroup55
comp56_c0_seq1	isogroup56
comp57_c0_seq1	isogroup57
comp59_c0_seq1	isogroup59
comp60_c0_seq1	isogroup60
comp61_c0_seq1	isogroup61
comp64_c0_seq1	isogroup64
comp67_c0_seq1	isogroup67
comp68_c0_seq2	isogroup68
comp70_c0_seq1	isogroup70
comp71_c0_seq2	isogroup71
comp72_c0_seq1	isogroup72
comp73_c0_seq1	isogroup73
comp76_c0_seq2	isogroup76
comp78_c0_seq2	isogroup78
comp80_c0_seq1	isogroup80
comp81_c0_seq1	isogroup81
comp82_c0_seq1	isogroup82
comp84_c0_seq2	isogroup84
comp86_c0_seq1	isogroup86
comp87_c0_seq1	isogroup87
comp89_c0_seq1	isogroup89
comp97_c0_seq1	isogroup97
comp98_c0_seq1	isogroup98
comp100_c0_seq1	isogroup100
comp106_c0_seq1	isogroup106
comp107_c0_seq1	isogroup107
comp109_c0_seq1	isogroup109
comp111_c0_seq1	isogroup111
comp113_c0_seq1	isogroup113
comp114_c0_seq1	isogroup114
comp115_c0_seq1	isogroup115
comp117_c0_seq1	isogroup117
comp121_c0_seq1	isogroup121
comp123_c0_seq1	isogroup123
comp126_c0_seq1	isogroup126
comp128_c0_seq1	isogroup128
comp131_c0_seq1	isogroup131
comp134_c0_seq1	isogroup134
comp135_c0_seq1	isogroup135
comp137_c0_seq2	isogroup137
comp141_c0_seq1	isogroup141
comp142_c0_seq1	isogroup142
comp144_c0_seq1	isogroup144
comp146_c0_seq1	isogroup146
comp147_c0_seq1	isogroup147
comp151_c0_seq1	isogroup151
comp152_c0_seq1	isogroup152
comp158_c0_seq1	isogroup158
comp159_c0_seq1	isogroup159
comp160_c0_seq1	isogroup160
comp162_c0_seq1	isogroup162
comp163_c0_seq1	isogroup163
comp167_c0_seq1	isogroup167
comp169_c0_seq1	isogroup169
comp170_c0_seq1	isogroup170
comp172_c0_seq1	isogroup172
comp174_c0_seq1	isogroup174
comp175_c0_seq1	isogroup175
comp177_c0_seq1	isogroup177
comp178_c0_seq1	isogroup178
comp179_c0_seq1	isogroup179
comp184_c0_seq1	isogroup184
comp188_c0_seq1	isogroup188
comp191_c0_seq1	isogroup191
comp194_c0_seq1	isogroup194
comp197_c0_seq1	isogroup197
comp200_c0_seq1	isogroup200
comp207_c0_seq1	isogroup207
comp208_c0_seq1	isogroup208
comp210_c0_seq1	isogroup210
comp211_c0_seq1	isogroup211
comp216_c0_seq1	isogroup216
comp220_c0_seq1	isogroup220
comp223_c0_seq1	isogroup223
comp226_c0_seq1	isogroup226
comp232_c0_seq1	isogroup232
comp233_c0_seq1	isogroup233
comp235_c0_seq1	isogroup235
comp236_c0_seq1	isogroup236
comp240_c0_seq1	isogroup240
comp241_c0_seq1	isogroup241
comp243_c0_seq1	isogroup243
comp244_c0_seq1	isogroup244
comp247_c0_seq1	isogroup247
comp250_c0_seq1	isogroup250
comp253_c0_seq1	isogroup253
comp254_c0_seq1	isogroup254
comp256_c0_seq1	isogroup256
comp262_c0_seq1	isogroup262
comp264_c0_seq1	isogroup264
comp267_c0_seq1	isogroup267
comp268_c0_seq1	isogroup268
comp271_c0_seq1	isogroup271
comp273_c0_seq1	isogroup273
comp274_c0_seq1	isogroup274
comp275_c0_seq1	isogroup275
comp278_c0_seq1	isogroup278
comp280_c0_seq1	isogroup280
comp283_c0_seq1	isogroup283
comp287_c0_seq1	isogroup287
comp289_c0_seq1	isogroup289
comp291_c0_seq1	isogroup291
comp292_c0_seq1	isogroup292
comp298_c0_seq1	isogroup298
comp299_c0_seq1	isogroup299
comp301_c0_seq1	isogroup301
comp303_c0_seq1	isogroup303
comp305_c0_seq1	isogroup305
comp306_c0_seq1	isogroup306
comp307_c0_seq1	isogroup307
comp311_c0_seq1	isogroup311
comp315_c0_seq1	isogroup315
comp317_c0_seq1	isogroup317
comp318_c0_seq1	isogroup318
comp320_c0_seq1	isogroup320
comp322_c0_seq1	isogroup322
comp324_c0_seq1	isogroup324
