isogroup1000	Q9P974
isogroup10000	Q50KB1
isogroup10001	Q8LKI3
isogroup10002	O06179
isogroup10005	I1K0K6
isogroup10009	Q13435
isogroup10010	P10770
isogroup10013	P80483
isogroup10016	Q03965
isogroup10018	A4IIN5
isogroup100187	Q9LF30
isogroup1002	P0DPA0
isogroup10021	O14197
isogroup10025	Q9SIP7
isogroup100272	P31414
isogroup100283	Q9FMP5
isogroup10030	Q84PB7
isogroup10031	P27166
isogroup100318	P22102
isogroup10037	P08799
isogroup100388	A4WCK2
isogroup10043	P0DPD7
isogroup100446	Q00PJ1
isogroup10046	Q7XJ96
isogroup10047	P96787
isogroup1005	Q84MH1
isogroup10051	Q05856
isogroup10057	Q4QQT3
isogroup100591	Q1HPW4
isogroup10062	Q4DJ07
isogroup100677	P55809
isogroup100682	Q8RWW1
isogroup100696	Q9FMD3
isogroup10071	P9WKM0
isogroup100723	P28769
isogroup10074	Q29Q26
isogroup10076	O65039
isogroup10077	P15567
isogroup100798	Q6H6D2
isogroup10083	P42525
isogroup10084	P96554
isogroup10092	Q13439
isogroup100942	Q27052
isogroup10098	B3EWY9
isogroup10111	Q5Z9E2
isogroup101113	P0CO48
isogroup10113	P9WKL1
isogroup10119	Q8VIG3
isogroup101201	Q5L055
isogroup10133	P0CR66
isogroup101331	Q5ZHV2
isogroup10134	Q5TZA2
isogroup10140	B6IRB5
isogroup101406	Q6ICB0
isogroup10141	Q9IBD1
isogroup101458	Q25691
isogroup1015	Q7L1I2
isogroup10153	P0CQ50
isogroup101534	Q4R3P6
isogroup10155	Q9Z3S6
isogroup10157	Q7XYZ0
isogroup1016	Q54QQ0
isogroup10160	A3SR25
isogroup10163	Q6QNM1
isogroup10164	O74836
isogroup10166	Q8H1Z0
isogroup10169	A6UEY0
isogroup101698	Q3MHN7
isogroup10170	O24325
isogroup10176	C1AZ64
isogroup10181	A8W969
isogroup10185	Q8GYS4
isogroup10187	Q9SS17
isogroup101953	Q8C436
isogroup10196	Q96NY7
isogroup10199	Q40296
isogroup10206	P62243
isogroup10207	I1BRD6
isogroup10212	P0DJ14
isogroup10216	Q3SWY0
