isogroup1000	sp|Q9P974|IF4E_CANGA
isogroup10000	sp|Q50KB1|SEP2_EMIHU
isogroup10001	sp|Q8LKI3|ALB32_CHLRE
isogroup10002	sp|O06179|Y1533_MYCTU
isogroup10005	sp|I1K0K6|EFGC2_SOYBN
isogroup10009	sp|Q13435|SF3B2_HUMAN
isogroup10010	sp|P10770|FER_PERBI
isogroup10013	sp|P80483|PCP3_AMPCA
isogroup10016	sp|Q03965|L181_CHLMO
isogroup10018	sp|A4IIN5|TISD_XENTR
isogroup100187	sp|Q9LF30|RS192_ARATH
isogroup1002	sp|P0DPA0|PAHX_DICDI
isogroup10021	sp|O14197|YDQ4_SCHPO
isogroup10025	sp|Q9SIP7|RS31_ARATH
isogroup100272	sp|P31414|AVP1_ARATH
isogroup100283	sp|Q9FMP5|CDPKH_ARATH
isogroup10030	sp|Q84PB7|THF1_ORYSJ
isogroup10031	sp|P27166|CALM_STYLE
isogroup100318	sp|P22102|PUR2_HUMAN
isogroup10037	sp|P08799|MYS2_DICDI
isogroup100388	sp|A4WCK2|UXUA_ENT38
isogroup10043	sp|P0DPD7|EFMT4_HUMAN
isogroup100446	sp|Q00PJ1|CTTB2_ATEAB
isogroup10046	sp|Q7XJ96|DRC4_CHLRE
isogroup10047	sp|P96787|BACR3_HALSD
isogroup1005	sp|Q84MH1|RAP_ORYSJ
isogroup10051	sp|Q05856|RSMB_DROME
isogroup10057	sp|Q4QQT3|CELF1_RAT
isogroup100591	sp|Q1HPW4|EIF3I_BOMMO
isogroup10062	sp|Q4DJ07|PGFS_TRYCC
isogroup100677	sp|P55809|SCOT1_HUMAN
isogroup100682	sp|Q8RWW1|TMN10_ARATH
isogroup100696	sp|Q9FMD3|PP389_ARATH
isogroup10071	sp|P9WKM0|Y966_MYCTO
isogroup100723	sp|P28769|TCPA_ARATH
isogroup10074	sp|Q29Q26|AKR2B_ARATH
isogroup10076	sp|O65039|CYSEP_RICCO
isogroup10077	sp|P15567|PUR6_SCHPO
isogroup100798	sp|Q6H6D2|HEM3_ORYSJ
isogroup10083	sp|P42525|ERK1_DICDI
isogroup10084	sp|P96554|Y319_MYXXA
isogroup10092	sp|Q13439|GOGA4_HUMAN
isogroup100942	sp|Q27052|FCA1_TRYRA
isogroup10098	sp|B3EWY9|MLP_ACRMI
isogroup10111	sp|Q5Z9E2|NIP14_ORYSJ
isogroup101113	sp|P0CO48|KMO_CRYNJ
isogroup10113	sp|P9WKL1|IDH_MYCTU
isogroup10119	sp|Q8VIG3|RSPH1_MOUSE
isogroup101201	sp|Q5L055|MQO_GEOKA
isogroup10133	sp|P0CR66|SPC25_CRYNJ
isogroup101331	sp|Q5ZHV2|NAA35_CHICK
isogroup10134	sp|Q5TZA2|CROCC_HUMAN
isogroup10140	sp|B6IRB5|DXS_RHOCS
isogroup101406	sp|Q6ICB0|DESI1_HUMAN
isogroup10141	sp|Q9IBD1|CELF3_DANRE
isogroup101458	sp|Q25691|VATB_PLAFA
isogroup1015	sp|Q7L1I2|SV2B_HUMAN
isogroup10153	sp|P0CQ50|RL44_CRYNJ
isogroup101534	sp|Q4R3P6|LRC40_MACFA
isogroup10155	sp|Q9Z3S6|CSPA_RHIME
isogroup10157	sp|Q7XYZ0|H3_GRIJA
isogroup1016	sp|Q54QQ0|IMDH_DICDI
isogroup10160	sp|A3SR25|XSC_ROSNI
isogroup10163	sp|Q6QNM1|KC1_TOXGO
isogroup10164	sp|O74836|RL1B_SCHPO
isogroup10166	sp|Q8H1Z0|CER3_ARATH
isogroup10169	sp|A6UEY0|DNAK_SINMW
isogroup101698	sp|Q3MHN7|NEIL3_BOVIN
isogroup10170	sp|O24325|VPE1_PHAVU
isogroup10176	sp|C1AZ64|MSHA_RHOOB
isogroup10181	sp|A8W969|AGB34_AGAAL
isogroup10185	sp|Q8GYS4|AVT1D_ARATH
isogroup10187	sp|Q9SS17|RS241_ARATH
isogroup101953	sp|Q8C436|MT21D_MOUSE
isogroup10196	sp|Q96NY7|CLIC6_HUMAN
isogroup10199	sp|Q40296|FCPB_MACPY
isogroup10206	sp|P62243|RS8_RAT
isogroup10207	sp|I1BRD6|FTR1_RHIO9
isogroup10212	sp|P0DJ14|RL7A_TETTH
isogroup10216	sp|Q3SWY0|RN183_BOVIN
isogroup102187	sp|B5ZV31|PUR9_RHILW
isogroup10219	sp|F4K410|SVR3_ARATH
isogroup10229	sp|O78516|FTSH_GUITH
isogroup10232	sp|P27521|CA4_ARATH
isogroup102348	sp|O74225|HSP88_NEUCR
isogroup10235	sp|A8HS48|RS3A_CHLRE
isogroup10240	sp|Q9ST43|PH1_ARATH
isogroup10242	sp|Q5U4X5|NDC80_XENTR
isogroup10243	sp|O34539|YJIC_BACSU
isogroup102433	sp|I1RNL0|C9MT2_GIBZE
isogroup102450	sp|P40557|EPS1_YEAST
isogroup1025	sp|Q9FL12|DEGP9_ARATH
isogroup10258	sp|P42210|ASPR_HORVU
isogroup10260	sp|Q93VG8|PPDEX_ARATH
isogroup10265	sp|Q28389|PAG_HORSE
isogroup10267	sp|Q9XF62|DIP13_CHLRE
isogroup10269	sp|Q9LQ14|PPR96_ARATH
isogroup1027	sp|Q9XI84|RBCMT_ARATH
isogroup10270	sp|P0CT80|RS28B_SCHPO
isogroup10271	sp|Q9ULJ7|ANR50_HUMAN
isogroup10274	sp|Q9XQU7|CYB6_HETTR
isogroup10276	sp|P38545|RAN_PLAFA
isogroup10278	sp|Q03498|VATA_PLAFA
isogroup10281	sp|P27085|RS26_OCTVU
isogroup10282	sp|P96554|Y319_MYXXA
isogroup10286	sp|O77458|TPIS_DROYA
isogroup10287	sp|Q9GQQ0|SPIN_DROME
isogroup102900	sp|Q6PFY9|CC14B_MOUSE
isogroup10291	sp|P43317|GUN5_HYPJE
isogroup10292	sp|P40796|LA_DROME
isogroup102955	sp|Q553U6|ACT22_DICDI
isogroup10296	sp|Q9LZH9|RL7A2_ARATH
isogroup10298	sp|Q07761|RL23A_TOBAC
isogroup1030	sp|Q9SKC4|ARI10_ARATH
isogroup103013	sp|O81028|PP171_ARATH
isogroup10306	sp|Q27257|DIF1_CAEEL
isogroup10309	sp|Q39617|POR_CHLRE
isogroup103123	sp|Q9LKI5|XPF_ARATH
isogroup10317	sp|O15891|TCPA_TETPY
isogroup103320	sp|Q54TA3|MRKC_DICDI
isogroup10335	sp|Q9AJN6|TREZ_ARTRM
isogroup103370	sp|Q17QF2|EFMT1_BOVIN
isogroup10338	sp|Q9ST43|PH1_ARATH
isogroup10340	sp|O88407|LFG2_RAT
isogroup10343	sp|Q9C0G6|DYH6_HUMAN
isogroup10344	sp|P39023|RL3_HUMAN
isogroup10348	sp|P49449|CENPA_BOVIN
isogroup10351	sp|P10039|TENA_CHICK
isogroup10352	sp|Q94BU1|Y1181_ARATH
isogroup10357	sp|G5EEE9|GCY23_CAEEL
isogroup10358	sp|Q5XIJ8|DRC2_RAT
isogroup10360	sp|Q949Q0|GPDA2_ARATH
isogroup10368	sp|P91645|CAC1A_DROME
isogroup103685	sp|A0M5A0|EFG_GRAFK
isogroup10369	sp|O67124|RAD50_AQUAE
isogroup10372	sp|Q8IBS5|CDPK4_PLAF7
isogroup10374	sp|H9BW96|RAB7_EPICO
isogroup10375	sp|Q851Y7|GRXS7_ORYSJ
isogroup10378	sp|Q96IV6|FXDC2_HUMAN
isogroup10384	sp|P83221|PPIB_STRAT
isogroup10389	sp|C0CMQ8|HPR_BLAHS
isogroup10395	sp|Q7TUR7|RS20_PROMM
isogroup1040	sp|B4N8G7|CRBN_DROWI
isogroup10402	sp|Q08CG8|RNF44_DANRE
isogroup10403	sp|Q553U6|ACT22_DICDI
isogroup10405	sp|Q8BJ48|NAGPA_MOUSE
isogroup1041	sp|P47179|DAN4_YEAST
isogroup10413	sp|Q9C5W3|NADK2_ARATH
isogroup10415	sp|Q1DME8|CSM3_COCIM
isogroup10418	sp|A8HUA1|CFA58_CHLRE
isogroup10420	sp|O02350|CBPA1_ANOGA
isogroup10421	sp|Q0INC5|RH28_ORYSJ
isogroup10423	sp|P49008|HEXA_PORGI
isogroup10424	sp|P0C1B3|AMYA1_ASPOR
isogroup104350	sp|P16603|NCPR_YEAST
isogroup10436	sp|A4IH82|3BP5L_XENTR
isogroup10449	sp|O34499|6PGL_BACSU
isogroup10450	sp|P37709|TRHY_RABIT
isogroup104506	sp|Q9M9E8|FB92_ARATH
isogroup10452	sp|Q0EEE2|PTHD3_MOUSE
isogroup10453	sp|Q9BY78|RNF26_HUMAN
isogroup10465	sp|P45946|ARSB_BACSU
isogroup104669	sp|P16157|ANK1_HUMAN
isogroup10468	sp|Q6NZL8|SCUB1_MOUSE
isogroup10470	sp|Q07352|TISB_HUMAN
isogroup10472	sp|Q99PK0|SYF1_RAT
isogroup10473	sp|O82233|IF4G2_ARATH
isogroup10479	sp|D4ABL6|MCTP1_RAT
isogroup10483	sp|Q9SS47|PUM4_ARATH
isogroup104838	sp|Q08585|FCPB_PHATR
isogroup10487	sp|Q9FGR9|CEP1_ARATH
isogroup10489	sp|Q0V9R4|CCD39_XENTR
isogroup104933	sp|A0A1B4XBG9|SDND_SORAA
isogroup104964	sp|Q42593|APXT_ARATH
isogroup10501	sp|Q27256|WHITE_ANOGA
isogroup10505	sp|O74803|RHP23_SCHPO
isogroup10508	sp|P55180|GALE_BACSU
isogroup10510	sp|Q9C9Z8|VATE2_ARATH
isogroup105111	sp|Q9D504|ANKR7_MOUSE
isogroup10515	sp|Q9LYN7|AML4_ARATH
isogroup10517	sp|Q53685|OLED_STRAT
isogroup10518	sp|Q9LYN7|AML4_ARATH
isogroup1052	sp|B8LIX8|IFT25_CHLRE
isogroup10522	sp|Q55EL3|UCKA_DICDI
isogroup10526	sp|P82458|TRI18_RAT
isogroup105294	sp|P39898|PLM1_PLAFA
isogroup1053	sp|Q10156|LKH1_SCHPO
isogroup10530	sp|P53621|COPA_HUMAN
isogroup10531	sp|Q2QVG9|CLPC2_ORYSJ
isogroup10532	sp|Q9M0E2|RL282_ARATH
isogroup10533	sp|Q9NP97|DLRB1_HUMAN
isogroup10534	sp|Q8SSJ5|CDC48_ENCCU
isogroup10541	sp|Q9Y2T7|YBOX2_HUMAN
isogroup10543	sp|Q4L3Q4|PROP_STAHJ
isogroup10544	sp|Q9ZVJ4|CYP22_ARATH
isogroup105447	sp|O80796|VIPP1_ARATH
isogroup10545	sp|P25776|ORYA_ORYSJ
isogroup1055	sp|Q5UAP0|RS4_BOMMO
isogroup10551	sp|Q5R8X6|PLMN_PONAB
isogroup105511	sp|Q8N0Z6|TTC5_HUMAN
isogroup10554	sp|Q3TB82|PKHF1_MOUSE
isogroup105601	sp|Q6CXT6|RS21_KLULA
isogroup10561	sp|Q29Q26|AKR2B_ARATH
isogroup105612	sp|A7L6A0|RS3A_ARTSF
isogroup105628	sp|Q03EC7|RL24_PEDPA
isogroup10563	sp|Q7RAV5|CDPK3_PLAYO
isogroup10567	sp|Q08699|RS14_PODCA
isogroup10574	sp|B1XL02|SECA_SYNP2
isogroup10576	sp|O43049|PPT1_SCHPO
isogroup10578	sp|Q26630|IDLC_STRPU
isogroup10580	sp|Q39238|TSL_ARATH
isogroup10588	sp|Q5R8M1|STK38_PONAB
isogroup10589	sp|Q9VBP3|TNKS_DROME
isogroup1059	sp|Q4IR18|GRC3_GIBZE
isogroup10590	sp|Q13510|ASAH1_HUMAN
isogroup10596	sp|Q39604|IDLC_CHLRE
isogroup10603	sp|P93107|PF20_CHLRE
isogroup10608	sp|Q84XU2|PPP5_ARATH
isogroup10612	sp|F4JMJ1|HSP7R_ARATH
isogroup10615	sp|Q5Z9E2|NIP14_ORYSJ
isogroup10618	sp|B6TYV8|CNR2_MAIZE
isogroup106217	sp|P96202|PPSC_MYCTU
isogroup10623	sp|Q55DM5|S35B2_DICDI
isogroup10624	sp|Q6AWX0|XYLL2_ARATH
isogroup106269	sp|Q8YQD8|DFA3_NOSS1
isogroup10630	sp|Q40296|FCPB_MACPY
isogroup10633	sp|Q52I78|NAMPT_PIG
isogroup106383	sp|P46275|F16P1_PEA
isogroup10639	sp|F4I2Y3|RMR3_ARATH
isogroup10648	sp|Q550U9|PLBLA_DICDI
isogroup106499	sp|P0DN22|ALMA1_SYMXX
isogroup1065	sp|P30614|KPYK_YARLI
isogroup106503	sp|P08734|ENOA_XENLA
isogroup10656	sp|Q57251|Y1218_HAEIN
isogroup10661	sp|Q8GZ26|BRN2L_ARATH
isogroup10669	sp|P32321|DCTD_HUMAN
isogroup10672	sp|Q8UE66|RIBB_AGRFC
isogroup10673	sp|Q6GQN4|FA32A_DANRE
isogroup10674	sp|Q4LAB0|MCO_STAHJ
isogroup10678	sp|Q40300|FCPF_MACPY
isogroup1068	sp|Q9I4E1|NPD2_PSEAE
isogroup10681	sp|P14091|CATE_HUMAN
isogroup10682	sp|Q9C5Y4|SMC21_ARATH
isogroup10690	sp|O60488|ACSL4_HUMAN
isogroup10691	sp|H0YM25|GG6LV_HUMAN
isogroup106928	sp|Q8H715|ATG8_PHYIN
isogroup106956	sp|P51563|TCR7_VIBAN
isogroup106985	sp|A4VGS1|PYRE_PSEU5
isogroup1070	sp|Q6WV19|GALT2_DROME
isogroup10701	sp|P22998|AMY_STRVL
isogroup107012	sp|P0C7R3|PP106_ARATH
isogroup107014	sp|B3PGJ1|AGAL_CELJU
isogroup10702	sp|P48150|RS14_CAEEL
isogroup10706	sp|B3EMI6|RL13_CHLPB
isogroup10717	sp|Q9M622|RMR1_ARATH
isogroup10722	sp|P37709|TRHY_RABIT
isogroup107247	sp|Q9LT68|NHD1_ARATH
isogroup107254	sp|Q54SR8|SGMC_DICDI
isogroup10726	sp|Q9ZS34|CHLP_TOBAC
isogroup107332	sp|F4I116|SYLC_ARATH
isogroup10736	sp|Q28653|2A5D_RABIT
isogroup10737	sp|Q71N41|GAMT_DANRE
isogroup10740	sp|P41759|PGK_SCHMA
isogroup10743	sp|Q5ENN5|RBL2_HETTR
isogroup1075	sp|E9HCD7|NNRE_DAPPU
isogroup10754	sp|Q9C5Z2|EIF3H_ARATH
isogroup10755	sp|P42730|CLPB1_ARATH
isogroup10756	sp|P27482|CALL3_HUMAN
isogroup107564	sp|Q6Z0I4|FABI1_ORYSJ
isogroup10757	sp|Q9M4G4|PGMC_SOLTU
isogroup10758	sp|Q9C5M0|DTC_ARATH
isogroup10760	sp|Q9R0M8|S35A2_MOUSE
isogroup10768	sp|P19485|CYA1_RHIME
isogroup10770	sp|Q99323|MYSN_DROME
isogroup10772	sp|Q9S9K4|ASPL2_ARATH
isogroup10777	sp|Q2QVG9|CLPC2_ORYSJ
isogroup10780	sp|P16259|CAN3_RAT
isogroup10781	sp|P27398|CAND_DROME
isogroup10783	sp|Q1PCQ8|PSD1_TOXGG
isogroup10784	sp|Q5VYS8|TUT7_HUMAN
isogroup10785	sp|Q14123|PDE1C_HUMAN
isogroup10791	sp|Q95L11|KCNB2_RABIT
isogroup10796	sp|Q53317|XYND_RUMFL
isogroup10798	sp|G5ED45|HYL1_CAEEL
isogroup1080	sp|B5X3C1|GALC_SALSA
isogroup10800	sp|Q96PQ7|KLHL5_HUMAN
isogroup10803	sp|Q9H8H3|MET7A_HUMAN
isogroup10805	sp|Q6ZY51|PWD_ARATH
isogroup10806	sp|P07205|PGK2_HUMAN
isogroup10808	sp|P25386|USO1_YEAST
isogroup10809	sp|P94400|YCIC_BACSU
isogroup10810	sp|P0CN90|ATG26_CRYNJ
isogroup10813	sp|Q8BFP9|PDK1_MOUSE
isogroup10816	sp|Q2GW27|VAC8_CHAGB
isogroup10818	sp|Q2RIS7|HPPA1_MOOTA
isogroup10819	sp|Q9HGM9|DNJC7_SCHPO
isogroup108191	sp|Q7Z4T9|CFA91_HUMAN
isogroup10820	sp|Q6EQX3|OML5_ORYSJ
isogroup10825	sp|P78594|FCA1_CANAX
isogroup10826	sp|Q26636|CATL_SARPE
isogroup1083	sp|Q94464|DYNA_DICDI
isogroup10838	sp|Q8L7W2|NUDT8_ARATH
isogroup10839	sp|Q9LR64|PB27A_ARATH
isogroup1084	sp|A2BDR7|CF157_DANRE
isogroup10845	sp|Q28644|SCN9A_RABIT
isogroup108488	sp|Q9XXV8|MYOK_DICDI
isogroup10849	sp|Q9HBG4|VPP4_HUMAN
isogroup10853	sp|Q7K4Q5|Y0417_DROME
isogroup10858	sp|Q9EX73|MLHB_RHOER
isogroup10862	sp|Q16P20|CISY2_AEDAE
isogroup10863	sp|Q8S341|PPA7_ARATH
isogroup10865	sp|Q9SJ61|CDPKP_ARATH
isogroup10870	sp|Q6NKN8|FB132_ARATH
isogroup10871	sp|Q6PCN7|HLTF_MOUSE
isogroup10876	sp|A8ILK1|CFA52_CHLRE
isogroup10877	sp|Q67UP9|P2C58_ORYSJ
isogroup10879	sp|Q08CY4|TELO2_XENTR
isogroup108833	sp|Q9CAN0|PPR99_ARATH
isogroup10896	sp|Q6FMA3|FKBP_CANGA
isogroup10897	sp|Q9P3U1|YKX5_SCHPO
isogroup10900	sp|Q0PCS3|CHR25_ARATH
isogroup10901	sp|Q9LEN0|ACET6_CERPU
isogroup10902	sp|Q0WMV8|PHF5B_ARATH
isogroup109023	sp|P23965|ECI1_RAT
isogroup10906	sp|A7SXK3|TMED_NEMVE
isogroup1091	sp|Q8R151|ZNFX1_MOUSE
isogroup10911	sp|Q5M823|NUDC2_RAT
isogroup10912	sp|Q9FN03|UVR8_ARATH
isogroup10916	sp|Q86W34|AMZ2_HUMAN
isogroup109214	sp|Q9ZVX5|PP156_ARATH
isogroup10933	sp|Q96AY4|TTC28_HUMAN
isogroup10935	sp|P48963|CDK2_MESAU
isogroup10936	sp|P22739|KCNA2_XENLA
isogroup10939	sp|Q91VH6|MEMO1_MOUSE
isogroup10942	sp|Q5A2K0|NST1_CANAL
isogroup10946	sp|O94432|YHKF_SCHPO
isogroup10956	sp|P09322|H4_SCHPO
isogroup10957	sp|O43670|ZN207_HUMAN
isogroup10958	sp|Q5TZA2|CROCC_HUMAN
isogroup10968	sp|P0CP00|MYO1_CRYNJ
isogroup10975	sp|P76219|YDJX_ECOLI
isogroup10979	sp|Q7NZD1|UBIB_CHRVO
isogroup10980	sp|Q9UPQ9|TNR6B_HUMAN
isogroup10990	sp|P51834|SMC_BACSU
isogroup10994	sp|O81845|PUMP1_ARATH
